symbol,date,open,close,high,low,volume
SP-500,3/16/2020,2508.59,2386.13,2562.98,2380.94,456793
SP-500,3/13/2020,2569.99,2711.02,2711.33,2492.37,487252
SP-500,3/12/2020,2630.86,2480.64,2660.95,2478.86,510264
SP-500,3/11/2020,2825.6,2741.38,2825.6,2707.22,414667
SP-500,3/10/2020,2813.48,2882.23,2882.59,2734,425140
SP-500,3/9/2020,2863.89,2746.56,2863.89,2734.43,461618
SP-500,3/6/2020,2954.2,2972.37,2985.93,2901.54,379696
SP-500,3/5/2020,3075.7,3023.94,3083.04,2999.83,314166
SP-500,3/4/2020,3045.75,3130.12,3130.97,3034.38,300635
SP-500,3/3/2020,3096.46,3003.37,3136.72,2976.63,378424
SP-500,3/2/2020,2974.28,3090.23,3090.96,2945.19,374559
SP-500,2/28/2020,2916.9,2954.22,2959.72,2855.84,502230
SP-500,2/27/2020,3062.54,2978.76,3097.07,2977.39,385342
SP-500,2/26/2020,3139.9,3116.39,3182.51,3108.99,288894
SP-500,2/25/2020,3238.94,3128.21,3246.99,3118.77,306870
SP-500,2/24/2020,3257.61,3225.89,3259.81,3214.65,267266
SP-500,2/21/2020,3360.5,3337.75,3360.76,3328.45,205684
SP-500,2/20/2020,3380.45,3373.23,3389.15,3341.02,195542
SP-500,2/19/2020,3380.39,3386.15,3393.52,3378.83,168606
SP-500,2/18/2020,3369.04,3370.29,3375.01,3355.61,185521
SP-500,2/14/2020,3378.08,3380.16,3380.69,3366.15,162620
SP-500,2/13/2020,3365.9,3373.94,3385.09,3360.52,185743
SP-500,2/12/2020,3370.5,3379.45,3381.47,3369.72,194410
SP-500,2/11/2020,3365.87,3357.75,3375.63,3352.72,183175
SP-500,2/10/2020,3318.28,3352.09,3352.26,3317.77,169043
SP-500,2/7/2020,3335.54,3327.71,3341.42,3322.12,180821
SP-500,2/6/2020,3344.92,3345.78,3347.96,3334.39,193192
SP-500,2/5/2020,3324.91,3334.69,3337.58,3313.75,220278
SP-500,2/4/2020,3280.61,3297.59,3306.92,3280.61,216816
SP-500,2/3/2020,3235.66,3248.92,3268.44,3235.66,209460
SP-500,1/31/2020,3282.33,3225.52,3282.33,3214.68,258181
SP-500,1/30/2020,3256.45,3283.66,3285.91,3242.8,221156
SP-500,1/29/2020,3289.46,3273.4,3293.47,3271.89,208226
